Datum;Wochentag;Art;Stunden;Notiz
2026-08-03;Mo;–;;
2026-08-04;Di;A;5,00;
2026-08-05;Mi;A;6,00;
2026-08-06;Do;A;6,00;
2026-08-07;Fr;–;;
2026-08-10;Mo;A;6,00;
2026-08-11;Di;A;6,00;
2026-08-12;Mi;A;6,00;
2026-08-13;Do;A;6,00;
2026-08-14;Fr;–;;
2026-08-17;Mo;A;6,00;
2026-08-18;Di;A;6,00;
2026-08-19;Mi;A;6,00;
2026-08-20;Do;A;8,00;
2026-08-21;Fr;–;;
2026-08-24;Mo;A;6,00;
2026-08-25;Di;A;6,00;
2026-08-26;Mi;A;6,00;
2026-08-27;Do;A;3,00;
2026-08-28;Fr;–;;
2026-08-31;Mo;–;;

Monatsabschluss;;;Stunden;
Ist (A);;;88,00;
Soll-Tage (U/K/F/ZA);;;0,00;
Summe;;;88,00;
Sollstunden Monat;;;100,80;
Saldo Monat;;;−12,80;
